House ID,Golden Grains
6e33d031,1156161.184956039
6e33d037,1457651.8252877516
6e33d03d,1533774.0049820452
6e33d043,1389943.7899492828
6e33d045,1364668.1673538734
6e33d049,1330504.5193704497
6e33d04d,1359173.691710144
6e33d051,1148586.2994229305
6e33d053,1154501.1002066704
6e33d055,1156598.9377084696
6e33d05b,1135066.472527125
6e33d05f,1136136.0367666658
6e33d062,1462450.3598237939
6e33d065,1573901.5744751194
6e33d067,1403092.5200192903
6e33d06b,1262787.0586811057
6e33d071,1431594.5999056597
6e33d075,1237703.5523394174
6e33d07a,1368432.6367443271
6e33d080,1144950.8160531197
6e33d083,1275173.3439486115
6e33d089,1246243.991181688
6e33d08b,1510169.925991235
6e33d08e,1113989.4021177802
6e33d090,1318004.6929891112
6e33d095,1477342.3352116947
6e33d098,1244268.3779205112
6e33d09a,1135769.3911589189
6e33d09d,1386345.4293418194
6e33d0a0,1262095.4438160409
6e33d0a5,1092847.8926056677
6e33d0a8,1409353.6578381483
6e33d0ac,1424245.3298066766
6e33d0b1,1421474.011948432
6e33d0b5,1149053.824496099
6e33d0ba,1422280.4624030348
6e33d0bc,1266315.613679494
6e33d0c2,1414409.182182969
6e33d0c6,1251155.8760369618
6e33d0cc,1537678.2964707506
6e33d0d1,1324507.9351408063
6e33d0d3,1469339.9632087266
6e33d0d5,1457432.0830752368
6e33d0d7,829633.9021201321
6e33d0dc,1519542.8181436714
6e33d0e0,1182389.177995558
6e33d0e2,1369449.9273889463
6e33d0e4,1328493.7840933404
6e33d0e6,1304192.9380268778
6e33d0ea,1227007.0871859721
6e33d0ee,1362216.25835177
6e33d0f4,1249080.2472903547
6e33d0f8,1372367.7523741457
6e33d0fd,1509163.3246428566
6e33d100,1235742.4784454175
6e33d103,1246125.0459367114
6e33d108,1166379.5283111418
6e33d10b,1445247.2540545764
6e33d110,1063466.270105054
6e33d112,1057149.438376972
6e33d117,1544489.0448934883
6e33d11c,1515926.9865035757
6e33d122,1197842.1080324114
6e33d127,1123947.8943621784
6e33d12c,1313605.5541170482
6e33d130,1269076.8241271933
6e33d136,1492871.5664067578
6e33d13a,1477260.3995199779
6e33d13e,1403777.6587196724
6e33d141,1317241.7598752505
6e33d147,1366671.7177774217
6e33d14b,1444182.7981685284
6e33d14e,1036672.7863225406
6e33d151,903212.7802859918
6e33d154,1257184.6224767403
6e33d159,1321697.696597074
6e33d15f,1418097.273164973
6e33d162,1279005.2513901233
6e33d168,1340729.7956355389
6e33d16d,1149176.7154590336
6e33d16f,1377416.3296131669
6e33d172,1475615.870350622
6e33d175,1235784.7834038276
6e33d17b,850126.8121009684
6e33d181,1298050.207376758
6e33d184,1362991.1135047828
6e33d186,1314109.4723594415
6e33d18b,1476641.7632729143
6e33d191,1180595.9384622355
6e33d193,1400855.0296597807
6e33d197,1483944.2191848424
6e33d19b,1493922.184561289
6e33d19f,1267096.8894998466
6e33d1a3,1268021.7043145734
6e33d1a7,1170223.6855122955
6e33d1ad,1302570.3398235221
6e33d1b1,1342671.0699281308
6e33d1b5,1416811.8476367784
6e33d1b9,1361749.6513677845
6e33d1bb,1357675.3853418285
6e33d1bf,1199486.8414739086
6e33d1c4,1422526.4614557729
6e33d1c7,1478354.9482439333
6e33d1cb,1529011.262337656
6e33d1cd,1305948.0698255769
6e33d1d3,1265070.0792135363
6e33d1d9,1430262.462949446
6e33d1dd,1257543.900243636
6e33d1e1,1427166.354809174
6e33d1e3,1016921.0593778004
6e33d1e8,1253777.137680738
6e33d1ec,1194416.6693663872
6e33d1f2,1344901.3194779002
6e33d1f6,1278019.8246021743
6e33d1fa,1317986.5205539574
6e33d1ff,1432308.4022057224
6e33d205,1017003.4222767763
6e33d207,1266936.2001915579
6e33d209,1499366.2359967765
6e33d20e,1389984.3451718672
6e33d210,1214075.6728128036
6e33d216,1105819.1814053485
6e33d219,1167851.2316997764
6e33d21d,1125857.0622238163
6e33d221,1144993.514322758
6e33d227,1338969.3568781281
6e33d22a,1179889.1101171938
6e33d22e,1336652.0689509031
6e33d230,1176010.6946942746
6e33d234,1446423.8845051
6e33d239,930331.5069965065
6e33d23e,1373998.1700650074
6e33d241,1208062.9379502041
6e33d244,1374404.3235021816
6e33d247,1319805.115221053
6e33d24b,1351811.0732752897
6e33d251,1088407.2554152973
6e33d253,1318232.1245399124
6e33d256,1165261.5604931896
6e33d25c,1325098.107084569
6e33d25f,1408209.015459185
6e33d262,1177395.739921189
6e33d266,1389167.5002250462
6e33d26b,1365740.1123066936
6e33d26d,1527963.163718824
6e33d26f,1493908.3450932775
6e33d274,1332034.4493575809
6e33d278,1173771.830916877
6e33d27e,876996.0604807874
6e33d281,1427938.0918570622
6e33d286,1364378.4254902063
6e33d28a,1416410.0099847966
6e33d28e,1388626.3080054563
6e33d293,1340808.308797822
6e33d298,1540999.734653625
6e33d29a,1437075.5039391427
6e33d29c,1147694.97476937
6e33d29e,1158477.7863765256
6e33d2a1,1438141.3056484475
6e33d2a5,1085966.591905245
6e33d2ab,1212791.851329682
6e33d2b1,1280068.2638257577
6e33d2b6,1621108.8422322194
6e33d2bc,1349374.3079862127
6e33d2c0,1423479.4763307276
6e33d2c4,1094960.2238930387
6e33d2c6,977537.3742901122
6e33d2cb,1471351.6382873296
6e33d2d0,1134165.81174838
6e33d2d5,1190709.1637414736
6e33d2db,1452973.2102551179
6e33d2e1,1309000.4274200376
6e33d2e7,921849.9726224551
6e33d2ea,1058495.890335394
6e33d2ec,1322388.1620710844
6e33d2f2,1285339.3196646692
6e33d2f4,1506369.3233080436
6e33d2fa,1237433.4383501587
6e33d2fe,1268842.4661339286
6e33d303,1406008.3192349111
6e33d309,1301128.3859738905
6e33d30f,1300678.3333467862
6e33d312,1426840.3778448424
6e33d314,1179036.827488915
6e33d31a,987402.415430635
6e33d31e,1213121.4849993477
6e33d320,1154601.5246451825
6e33d326,1317415.4456961716
6e33d329,1439758.27698229
6e33d32f,1181375.0701118896
6e33d333,1513427.135521337
6e33d339,1387246.4058841874
6e33d33e,1441606.2810826101
6e33d340,1175513.1462536182
6e33d344,1303438.1539038774
6e33d34a,1071420.8819896458
6e33d34f,1420282.8368939066
6e33d353,1075707.121794948
6e33d359,1072496.1147134965
6e33d35f,1279915.2405155154
6e33d362,1347101.1295878557
6e33d366,1535348.159522891
6e33d368,1406289.2141934154
6e33d36e,1475249.7597196528
6e33d371,1392301.4942171122
6e33d376,1120964.7576362374
6e33d37c,1316045.7346247276
6e33d381,1457778.3387592228
6e33d383,1399483.820347831
6e33d388,1349503.7746476075
6e33d38b,1195254.693894668
6e33d38d,1491298.6274807234
6e33d38f,890962.8345563707
6e33d393,1363787.3975538444
6e33d399,1242535.46268052
6e33d39d,1504413.874733331
6e33d3a2,1430058.4342390746
6e33d3a7,1399621.752430617
6e33d3ab,1013363.7053507131
6e33d3af,1216296.4141276716
6e33d3b5,1086253.7729664308
6e33d3bb,1285454.6771876242
6e33d3be,1070507.3635890083
6e33d3c2,1513555.3946552803
6e33d3c6,1426530.6965622893
6e33d3ca,1153127.6374189346
6e33d3cf,1157551.1260590886
6e33d3d2,1402927.358132236
6e33d3d8,1406692.1190009427
6e33d3de,1362597.1851177404
6e33d3e0,1432946.710416758
6e33d3e6,1290730.3250481999
6e33d3e8,1518165.1570585861
6e33d3ee,1390277.9635575148
6e33d3f0,1342226.8329408576
6e33d3f3,1459394.305817123
6e33d3f5,1155683.4335741135
6e33d3f7,1539469.882990913
6e33d3fd,1207134.2862479521
6e33d402,1181418.9442326382
6e33d405,1197884.4604179014
6e33d408,1511413.0394924185
6e33d40a,1533582.1487820987
6e33d40c,1345453.1502683011
6e33d40f,1474298.4876477849
6e33d413,1272021.2826679628
6e33d416,1418055.8688907505
6e33d419,1311294.966353574
6e33d41f,1327449.2280599305
6e33d424,1515181.073697765
6e33d429,1566317.6105385157
6e33d42f,1376887.2613074454
6e33d433,1398445.7003777646
6e33d439,1204101.1272583767
6e33d43d,1348260.656330969
6e33d441,1182552.9323918798
6e33d443,1079564.8019681275
6e33d445,1472466.9315366
6e33d449,1339324.8910215392
6e33d44c,1276676.561528637
6e33d450,1130247.1033931244
6e33d456,1302774.0157255866
6e33d45b,1510189.7341364638
6e33d45f,1405666.4474775654
6e33d461,1131944.2823021037
6e33d466,1273480.8457559263
6e33d46c,1196831.4465881058
6e33d46f,1175507.5089530493
6e33d471,1197137.4316736616
6e33d473,1173573.837945553
6e33d478,1064321.1775506812
6e33d47c,1437955.80368443
6e33d47e,1280116.1265264922
6e33d482,1289277.2422552835
6e33d486,1400117.534182198
6e33d489,1421690.3578486876
6e33d48d,1224488.9146060487
6e33d48f,1355020.627000413
6e33d491,1441184.619575872
6e33d496,1144533.7938738202
6e33d49b,1115635.3597326123
6e33d4a1,1449073.8708914926
6e33d4a7,1060343.2429914437
6e33d4ad,1580612.773105373
6e33d4af,1328415.9839040465
6e33d4b3,1206990.6816348361
6e33d4b6,1332947.5109556417
6e33d4bc,980964.8464809908
6e33d4c0,1418282.8142770815
6e33d4c4,1261613.0889974413
6e33d4c9,1230025.8924734662
6e33d4cd,910469.0441065643
6e33d4d0,1145230.4080654664
6e33d4d6,1419031.9778338047
6e33d4d8,1433691.8618379163
6e33d4dd,1067234.2975943855
6e33d4df,1423761.681438547
6e33d4e2,1319024.6388926103
6e33d4e6,1535478.973477813
6e33d4eb,1436794.621781785
6e33d4ef,1335066.3745372372
6e33d4f1,1219188.2730805727
6e33d4f7,1093899.6469007377
6e33d4fb,1214800.140876487
6e33d4fd,1432361.3171091138
6e33d4ff,1464759.447857998
6e33d501,1439761.8080137805
6e33d503,1232587.9781982226
6e33d508,1476724.496059058
6e33d50d,1409552.7956035398
6e33d513,1409788.45646776
6e33d517,1346302.513209405
6e33d51b,1351080.996205668
6e33d521,1258030.828440026
6e33d527,1363537.4684285023
6e33d52a,1494506.0847589802
6e33d52e,1302761.3256010518
6e33d534,1417076.3219523304
6e33d536,1350310.6919110985
6e33d53b,1488848.9216841313
6e33d540,1416562.6952346244
6e33d546,1450556.8170559008
6e33d54a,1255365.3927025981
6e33d54d,1393776.3384193266
6e33d553,1654542.581232974
6e33d556,1486817.7444420743
6e33d55b,1385934.1609614945
6e33d560,1169228.2605736728
6e33d566,1421127.477290577
6e33d56c,1406135.9779509208
6e33d56f,1321627.2434510794
6e33d573,1031239.584400509
6e33d578,1650273.4670634791
6e33d57a,1305026.170905266
6e33d57d,1456778.2209207185
6e33d581,1197049.195896618
6e33d586,1482407.5065689604
6e33d589,1075965.6797185303
6e33d58e,1249874.460031877
6e33d590,1525910.9282880246
6e33d594,1456867.0805111183
6e33d598,1277169.8085528738
6e33d59c,1314755.1986613495
6e33d5a0,1408715.4572836135
6e33d5a5,1457786.13718931
6e33d5aa,1486413.3553389416
6e33d5ad,1431356.7105564452
6e33d5b2,1312784.6886783978
6e33d5b5,1095972.2339727802
6e33d5b9,1260188.049345396
6e33d5bf,1397820.0194107806
6e33d5c4,1318467.3368670861
6e33d5c6,1264288.9329393043
6e33d5c9,1458075.8777243881
6e33d5ce,1457280.1053735681
6e33d5d0,1313283.4455168757
6e33d5d4,1230267.7429713062
6e33d5d6,1637638.9598431238
6e33d5dc,1251901.935717801
6e33d5e2,1307130.177233419
6e33d5e5,1355786.019887927
6e33d5e7,1403592.6617057165
6e33d5eb,1493745.3113806162
6e33d5ee,1260710.6945429053
6e33d5f0,1318646.870153251
6e33d5f6,1136411.4018744181
6e33d5fc,1595826.1862028383
6e33d600,1335095.439807114
6e33d604,1182771.4736780617
6e33d607,1526555.4250737054
6e33d60d,1276668.211833415
6e33d610,1286847.4476381976
6e33d616,1513763.7485156986
6e33d619,1356351.7038970974
6e33d61c,1389149.0212504498
6e33d620,1257000.8739663186
6e33d623,769616.4344781528
6e33d626,1339938.9126007708
6e33d62a,1312524.189525166
6e33d62c,1375680.935716557
6e33d62e,1019558.3745382617
6e33d632,1284020.4075369523
6e33d634,1422354.9065175701
6e33d637,1197744.9887530801
6e33d63d,1433644.1201584444
6e33d643,1228425.9822866633
6e33d645,1349283.3298548053
6e33d64a,1508176.7706055623
6e33d64e,1436976.3509741947
6e33d651,1278120.157757508
6e33d656,1421378.6789023236
6e33d659,886250.0218787286
6e33d65b,1300757.284350287
6e33d65e,1262038.798904427
6e33d660,1312449.4850498154
6e33d666,1380876.4519183177
6e33d669,1364807.3700568322
6e33d66e,1476928.3093006844
6e33d673,1221497.8706265287
6e33d679,1252417.0799269527
6e33d67b,1253388.3464312674
6e33d681,1428708.978345018
6e33d685,1475324.196291367
6e33d687,1231295.5156215455
6e33d68b,1246771.8386319142
6e33d68d,1534079.9583565106
6e33d68f,1284646.8523451572
6e33d694,1442894.8740700264
6e33d699,1383896.8195151673
6e33d69c,1499685.2103514494
6e33d69f,1285535.8063407852
6e33d6a2,1096404.7365311983
6e33d6a4,1280146.068481016
6e33d6a7,1323816.6786121943
6e33d6ad,1362418.2108510064
6e33d6af,1304600.5272335862
6e33d6b5,1392946.3148962578
6e33d6ba,1381220.368337097
6e33d6c0,1343755.2257893966
6e33d6c2,1234591.3735938338
6e33d6c8,1055422.3808743393
6e33d6cb,1438001.7144001971
6e33d6cd,896639.3720947916
6e33d6d3,1306945.8155299958
6e33d6d6,1403555.3842621031
6e33d6db,1321441.4464662825
6e33d6e1,1433438.7099388747
6e33d6e6,1484297.145314247
6e33d6ec,1366422.805919242
6e33d6ee,1405735.4015218224
6e33d6f4,1373291.2501231928
6e33d6f9,1332433.6124761382
6e33d6fb,1230236.0457992398
6e33d701,1347006.99246271
6e33d707,1154967.499060785
6e33d70c,1429735.97111323
6e33d711,1329451.1800066372
6e33d717,1353637.018083625
6e33d719,1016119.3537415708
6e33d71f,1330052.417581413
6e33d723,1181980.471769785
6e33d729,1230435.8485156933
6e33d72e,1348690.3070950287
